,Filename,Length,Percent Bax,Percent Bak,Pearson coefficient
0,IF78_spl5pos3.obf_ROI1,0.99,45.868179263579925,54.13182073642008,-0.2161903968835547
1,IF78_spl5pos3.obf_ROI2,1.68,51.35298252579088,48.64701747420912,0.5585680903312459
2,IF78_spl5pos3.obf_ROI3,1.935,39.25525815542601,60.74474184457399,0.6894343510349773
